index,N,P,K,temperature,humidity,ph,rainfall,time
71,67,45,38,22.72791041,82.17068809999998,7.300410836,260.8875056,111
72,79,42,37,24.87300744,82.84022551,6.587918707999999,295.6094492000001,80
73,78,43,42,21.32376327,83.00320459,7.283736617000001,192.3197536,184
74,75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,116
75,97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,92
76,67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,93
77,73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,192
78,77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,183
79,81,41,38,22.67846116,83.72874389,7.5240800760000015,200.9133156,176
80,68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,195
81,72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,181
82,61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,163
83,67,43,39,26.04371967,84.96907151,5.9999690260000005,186.7536773,191
84,67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,163
85,66,60,38,22.08576562,83.47038318,6.372576327000001,231.7364957,159
86,82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,148
87,84,50,44,25.48591986,81.40633547,5.9353444060000005,182.6549356,193
88,81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,133
89,91,50,40,20.82477109,84.1341879,6.462391607000001,230.22422230000004,126
90,93,53,38,26.92995077,81.91411159,7.069172227,290.67937830000005,83
91,90,44,38,23.83509503,83.88387074,7.473134377,241.20135130000003,127
92,81,45,35,26.52872817,80.12267476,6.158376967000001,218.9163567,158
93,78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,125
94,60,51,36,22.69657794,82.81088865,6.028321557999999,256.9964761,169
95,88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,182
96,93,47,37,21.53346343,82.14004101,6.500343222000001,295.9248796,78
97,60,55,45,21.40865769,83.32931909999998,5.935745417000001,287.5766935000001,84
98,78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,194
99,65,37,40,23.35905428,83.59512273,5.333322606,188.413665,191
